video_path,audio_path,text_path,label
/home/tjc/audio/Data/Fudan_video/64a5f04320c5a74d8a9237f58b45cffb/13.mp4,/home/tjc/audio/Data/Fudan_video/64a5f04320c5a74d8a9237f58b45cffb/13.wav,/home/tjc/audio/Data/Fudan_video/64a5f04320c5a74d8a9237f58b45cffb/13.txt,B
/home/tjc/audio/Data/Fudan_video/5dac8e84c64789c04096f3bf81982ef8/3.mp4,/home/tjc/audio/Data/Fudan_video/5dac8e84c64789c04096f3bf81982ef8/3.wav,/home/tjc/audio/Data/Fudan_video/5dac8e84c64789c04096f3bf81982ef8/3.txt,B
/home/tjc/audio/Data/Fudan_video/c6798f8f92fb1bf5efc6f82c4761e954/3.mp4,/home/tjc/audio/Data/Fudan_video/c6798f8f92fb1bf5efc6f82c4761e954/3.wav,/home/tjc/audio/Data/Fudan_video/c6798f8f92fb1bf5efc6f82c4761e954/3.txt,A
/home/tjc/audio/Data/Fudan_video/c22b4db88c9c70db11dff42adf7a5fa5/4.mp4,/home/tjc/audio/Data/Fudan_video/c22b4db88c9c70db11dff42adf7a5fa5/4.wav,/home/tjc/audio/Data/Fudan_video/c22b4db88c9c70db11dff42adf7a5fa5/4.txt,A
/home/tjc/audio/Data/Fudan_video/f8868b746c86502951e9691352059bd8/0.mp4,/home/tjc/audio/Data/Fudan_video/f8868b746c86502951e9691352059bd8/0.wav,/home/tjc/audio/Data/Fudan_video/f8868b746c86502951e9691352059bd8/0.txt,A
/home/tjc/audio/Data/Fudan_video/bf1fa8c3812c2fcab54ef5cb85bcb389/9.mp4,/home/tjc/audio/Data/Fudan_video/bf1fa8c3812c2fcab54ef5cb85bcb389/9.wav,/home/tjc/audio/Data/Fudan_video/bf1fa8c3812c2fcab54ef5cb85bcb389/9.txt,A
/home/tjc/audio/Data/Fudan_video/0c15b9321256368bff1baa1b7e042db1/6.mp4,/home/tjc/audio/Data/Fudan_video/0c15b9321256368bff1baa1b7e042db1/6.wav,/home/tjc/audio/Data/Fudan_video/0c15b9321256368bff1baa1b7e042db1/6.txt,C
/home/tjc/audio/Data/Fudan_video/9aa37fa5d68ff71e640bfdea725ff854/21.mp4,/home/tjc/audio/Data/Fudan_video/9aa37fa5d68ff71e640bfdea725ff854/21.wav,/home/tjc/audio/Data/Fudan_video/9aa37fa5d68ff71e640bfdea725ff854/21.txt,B
/home/tjc/audio/Data/Fudan_video/0262bd1f2ab44b5dd26ab556a955953d/4.mp4,/home/tjc/audio/Data/Fudan_video/0262bd1f2ab44b5dd26ab556a955953d/4.wav,/home/tjc/audio/Data/Fudan_video/0262bd1f2ab44b5dd26ab556a955953d/4.txt,C
/home/tjc/audio/Data/Fudan_video/13330dbdd6ac59e0eee0bdc810382fb5/2.mp4,/home/tjc/audio/Data/Fudan_video/13330dbdd6ac59e0eee0bdc810382fb5/2.wav,/home/tjc/audio/Data/Fudan_video/13330dbdd6ac59e0eee0bdc810382fb5/2.txt,A
/home/tjc/audio/Data/Fudan_video/363a3117bb1dc5f7e8a5ca43902ca41e/6.mp4,/home/tjc/audio/Data/Fudan_video/363a3117bb1dc5f7e8a5ca43902ca41e/6.wav,/home/tjc/audio/Data/Fudan_video/363a3117bb1dc5f7e8a5ca43902ca41e/6.txt,A
/home/tjc/audio/Data/Fudan_video/2f428dd34505e69e66d5cd05ed2f39dd/12.mp4,/home/tjc/audio/Data/Fudan_video/2f428dd34505e69e66d5cd05ed2f39dd/12.wav,/home/tjc/audio/Data/Fudan_video/2f428dd34505e69e66d5cd05ed2f39dd/12.txt,A
/home/tjc/audio/Data/Fudan_video/b3e01e779704661f04bedde7028f7cd4/8.mp4,/home/tjc/audio/Data/Fudan_video/b3e01e779704661f04bedde7028f7cd4/8.wav,/home/tjc/audio/Data/Fudan_video/b3e01e779704661f04bedde7028f7cd4/8.txt,B
/home/tjc/audio/Data/Fudan_video/6aa104605e8b66020aa7f6e50c0c9583/2.mp4,/home/tjc/audio/Data/Fudan_video/6aa104605e8b66020aa7f6e50c0c9583/2.wav,/home/tjc/audio/Data/Fudan_video/6aa104605e8b66020aa7f6e50c0c9583/2.txt,B
/home/tjc/audio/Data/Fudan_video/6ee16aa54c9405aa19daa49c85ed4220/0.mp4,/home/tjc/audio/Data/Fudan_video/6ee16aa54c9405aa19daa49c85ed4220/0.wav,/home/tjc/audio/Data/Fudan_video/6ee16aa54c9405aa19daa49c85ed4220/0.txt,B
/home/tjc/audio/Data/Fudan_video/8773952672a7c99091e8f0bff28ff2b5/7.mp4,/home/tjc/audio/Data/Fudan_video/8773952672a7c99091e8f0bff28ff2b5/7.wav,/home/tjc/audio/Data/Fudan_video/8773952672a7c99091e8f0bff28ff2b5/7.txt,B
/home/tjc/audio/Data/Fudan_video/977296c0753437722f4da8bc04c0bec3/10.mp4,/home/tjc/audio/Data/Fudan_video/977296c0753437722f4da8bc04c0bec3/10.wav,/home/tjc/audio/Data/Fudan_video/977296c0753437722f4da8bc04c0bec3/10.txt,A
/home/tjc/audio/Data/Fudan_video/3f99d0ea834385eac8edc06929e9ff9f/33.mp4,/home/tjc/audio/Data/Fudan_video/3f99d0ea834385eac8edc06929e9ff9f/33.wav,/home/tjc/audio/Data/Fudan_video/3f99d0ea834385eac8edc06929e9ff9f/33.txt,A
